company,cik,accession,document_name,source_url,repo_relative_path,content_sha256,namespace,concept,unit,context,dimensions,period_start,period_end,value
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,CoSelectedMeasureAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,19330000000
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,PeoTotalCompAmt,iso4217:USD,c-3,,2024-01-01,2024-12-31,24648727
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-3,,2024-01-01,2024-12-31,38522253
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-3,,2024-01-01,2024-12-31,8504021
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-3,,2024-01-01,2024-12-31,11713836
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,TotalShareholderRtnAmt,iso4217:USD,c-3,,2024-01-01,2024-12-31,86
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-3,,2024-01-01,2024-12-31,151
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,CoSelectedMeasureAmt,iso4217:USD,c-3,,2024-01-01,2024-12-31,17960000000
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,PeoTotalCompAmt,iso4217:USD,c-4,,2023-01-01,2023-12-31,21562064
Pfizer,78003,0000078003-26-000033,pfe-20260312.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000033/pfe-20260312.htm,evidence/accession_materials/pfizer_78003_000007800326000033/pfe-20260312.htm,f53e7ec13d217b5f0d5868af1d55fa9465b22daa40a2a34ff6dc653d8bad0e6e,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-4,,2023-01-01,2023-12-31,-62146536
