company,cik,accession,document_name,source_url,repo_relative_path,content_sha256,namespace,concept,unit,context,dimensions,period_start,period_end,value
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,InsiderTrdPoliciesProcAdoptedFlag,,c-1,,2025-01-01,2025-12-31,insider trading policy
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,AwardTmgMnpiCnsdrdFlag,,c-1,,2025-01-01,2025-12-31,do not
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,Additional402vDisclosureTextBlock,,c-1,,2025-01-01,2025-12-31,"As required by Section 953(a) of the Dodd-Frank Act, and Item 402(v) of Regulation S-K, we are providing the following information about the relationship between executive compensation actually paid (or “CAP,” as defined by SEC rules and further described below) and certain Company financial performance metrics."
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,PeoTotalCompAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,9601958
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,-16391
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,5293375
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,NonPeoNeoAvgCompActuallyPaidAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,-23712
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,TotalShareholderRtnAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,18
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,PeerGroupTotalShareholderRtnAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,48
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,CoSelectedMeasureAmt,iso4217:USD,c-1,,2025-01-01,2025-12-31,1473000000
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,PeoTotalCompAmt,iso4217:USD,c-2,,2024-01-01,2024-12-31,12630005
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,PeoActuallyPaidCompAmt,iso4217:USD,c-2,,2024-01-01,2024-12-31,3357725
Enphase Energy,1463101,0001463101-26-000026,enph-20260401.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310126000026/enph-20260401.htm,evidence/accession_materials/enphase_energy_1463101_000146310126000026/enph-20260401.htm,7bb995ddb80c61a4b25239852efa0a5673d225e17c6125e7005f8ad72e1c6a84,ecd,NonPeoNeoAvgTotalCompAmt,iso4217:USD,c-2,,2024-01-01,2024-12-31,6672535
